product_id,product,category,individual_category,brand_name,description,price_usd
17727536,Wearing Apparel/Accessories,Topwear,tshirts,Mufti,mufti men pink floral printed polo collar slim fit pure cotton t shirt,22.688172043010752
15996268,Wearing Apparel/Accessories,Topwear,sweaters,Red Chief,red chief men black cotton pullover,26.272401433691755
17480770,Wearing Apparel/Accessories,Indian Wear,dress-material,SALWAR STUDIO,salwar studio pink  green printed unstitched dress material,13.082437275985663
15954306,Wearing Apparel/Accessories,Indian Wear,dupatta,VAABA,vaaba orange  white floral printed cotton silk ombre dupatta,17.025089605734767
17612862,Wearing Apparel/Accessories,Indian Wear,sarees,KALINI,kalini grey  white floral printed pure georgette saree,19.8805256869773
17784638,Wearing Apparel/Accessories,Indian Wear,kurta-sets,Fabclub,fabclub women mustard yellow striped kurta with palazzos,29.856630824372758
17530728,Wearing Apparel/Accessories,Indian Wear,kurtas,Ethnic basket,ethnic basket women pack of 2 ethnic motifs printed crepe kurta,29.856630824372758
15531346,Wearing Apparel/Accessories,Indian Wear,sarees,Unnati Silks,unnati silks blue  pink leheriya printed zari pure shibori cotton leheriya saree,47.765830346475504
17899308,Wearing Apparel/Accessories,Indian Wear,sarees,Satrani,satrani mustard  peach coloured floral zari pure georgette saree,61.98327359617682
17482500,Wearing Apparel/Accessories,Indian Wear,sarees,Mitera,mitera blue  green embellished kutchi embroidery saree,70.4778972520908
17182808,Wearing Apparel/Accessories,Indian Wear,sarees,Pothys,pothys grey  brown ethnic motifs printed zari saree,10.39426523297491
11968978,Wearing Apparel/Accessories,Indian Wear,kurtas,Naari,naari women peach coloured solid straight kurta,11.935483870967742
14710496,Wearing Apparel/Accessories,Lingerie & Sleep Wear,bra,DressBerry,dressberry pack of 2 t shirt bra with lace detailing,20.29868578255675
17732632,Wearing Apparel/Accessories,Lingerie & Sleep Wear,camisoles,Floret, floret women rose camisoles,5.949820788530466
11630710,Wearing Apparel/Accessories,Lingerie & Sleep Wear,camisoles,Lady Lyka,lady lyka women pack of 2 solid adjustable straps camisoles cami 04,5.973715651135006
17647744,Wearing Apparel/Accessories,Plus Size,sarees,Sangria,sangria sea green  pink floral printed organza saree,71.6726403823178
16204964,Wearing Apparel/Accessories,Sports Wear,shorts,GRACIT,gracit women pack of 2 pink skinny fit biker shorts,14.313022700119474
17592044,Wearing Apparel/Accessories,Western,tops,U&F,uf women tranquil teal geometric volume play top,23.882915173237752
17014922,Wearing Apparel/Accessories,Western,sweaters,FOREVER 21,forever 21 women white striped cardigan,23.882915173237752
17370302,Wearing Apparel/Accessories,Western,jumpsuit,Cottinfab,cottinfab grey  white striped capri jumpsuit,26.272401433691755
1893305,Wearing Apparel/Accessories,Western,track-pants,Ed Hardy,ed hardy women black textured track pant,26.272401433691755
