msrp,trading_partner_cn,trading_partner_hk,trading_partner_other_countries,trading_partner_sg,trading_partner_tr,line_count,seized
440.0,0,0,1,0,0,4,1.0
2280.0,0,0,1,0,0,25,1.0
700.0,0,1,0,0,0,14,1.0
30.0,0,0,1,0,0,16,1.0
732.0,0,1,0,0,0,5,1.0
44.0,0,0,0,0,1,15,1.0
55500.0,0,0,1,0,0,1,1.0
11350.0,1,0,0,0,0,1,1.0
4125.0,0,0,1,0,0,9,1.0
7000.0,0,0,1,0,0,10,1.0
2400.0,1,0,0,0,0,5,1.0
1170.0,1,0,0,0,0,10,1.0
900.0,0,0,1,0,0,5,1.0
18720.0,0,1,0,0,0,1,1.0
880.0,0,1,0,0,0,3,1.0
300.0,1,0,0,0,0,1,1.0
4250.0,0,0,0,0,1,33,1.0
675.0,1,0,0,0,0,1,1.0
6500.0,0,0,0,0,1,2,1.0
2230.0,0,0,1,0,0,38,1.0
14400.0,1,0,0,0,0,2,1.0
1800.0,0,0,1,0,0,11,1.0
25.0,0,0,1,0,0,36,1.0
15250.0,0,0,1,0,0,14,1.0
480.0,0,0,0,0,1,3,1.0
2400.0,1,0,0,0,0,1,1.0
239.98,0,0,1,0,0,6,1.0
4560.0,1,0,0,0,0,2,1.0
41022.0,0,0,1,0,0,54,1.0
1100.0,0,0,0,0,1,30,1.0
3800.0,0,0,1,0,0,6,1.0
3400.0,0,0,1,0,0,6,1.0
300.0,1,0,0,0,0,5,1.0
630.0,0,0,1,0,0,20,1.0
2000.0,1,0,0,0,0,1,1.0
4000.0,1,0,0,0,0,2,1.0
90000.0,1,0,0,0,0,1,1.0
5370.0,0,0,0,0,1,17,1.0
1900.0,0,0,1,0,0,6,1.0
1400.0,0,0,1,0,0,28,1.0
6900.0,0,0,0,0,1,13,1.0
9900.0,1,0,0,0,0,1,1.0
4900.0,0,1,0,0,0,11,1.0
9750.0,1,0,0,0,0,28,1.0
881.58,0,1,0,0,0,7,1.0
165.0,1,0,0,0,0,1,1.0
480.0,0,1,0,0,0,16,1.0
950.0,1,0,0,0,0,3,1.0
2450.0,0,0,1,0,0,18,1.0
14700.0,0,0,1,0,0,5,1.0
2200.0,0,0,0,0,1,36,1.0
147960.0,1,0,0,0,0,53,1.0
1200.0,1,0,0,0,0,34,1.0
100.0,0,0,1,0,0,3,1.0
118080.0,0,1,0,0,0,1,1.0
1495.0,0,0,0,0,1,25,1.0
61270.0,1,0,0,0,0,163,1.0
2700.0,1,0,0,0,0,13,1.0
1980.0,0,1,0,0,0,3,1.0
3140.0,1,0,0,0,0,4,1.0
7360.0,0,0,1,0,0,30,1.0
1.01,1,0,0,0,0,234,1.0
5115.0,0,0,1,0,0,14,1.0
725.0,1,0,0,0,0,7,1.0
97650.0,0,0,1,0,0,9,1.0
1690.0,0,0,1,0,0,23,1.0
6300.0,1,0,0,0,0,1,1.0
1210.0,0,0,1,0,0,36,1.0
17316.0,0,1,0,0,0,85,1.0
52.0,0,0,1,0,0,28,1.0
900.0,1,0,0,0,0,20,1.0
12450.0,0,1,0,0,0,1,1.0
850.0,1,0,0,0,0,1,1.0
4410.0,0,0,1,0,0,37,1.0
81000.0,1,0,0,0,0,7,1.0
26940.0,0,1,0,0,0,7,1.0
368.91,0,0,1,0,0,19,1.0
4130.0,1,0,0,0,0,1,1.0
135.0,0,0,1,0,0,8,1.0
23530.0,0,0,1,0,0,10,1.0
1300.0,1,0,0,0,0,86,1.0
91350.0,0,1,0,0,0,6,1.0
5250.0,0,1,0,0,0,8,1.0
77200.0,0,1,0,0,0,7,1.0
1850.0,0,0,1,0,0,23,1.0
2035995.0,0,0,0,1,0,2,1.0
3100.0,1,0,0,0,0,11,1.0
4100.0,0,0,1,0,0,43,1.0
8749.47,0,0,1,0,0,1,1.0
650.0,1,0,0,0,0,8,1.0
1.0,1,0,0,0,0,253,1.0
16998.0,0,1,0,0,0,1,1.0
6760.0,1,0,0,0,0,8,1.0
970.0,0,1,0,0,0,3,1.0
582250.0,1,0,0,0,0,1,1.0
2000.0,1,0,0,0,0,66,1.0
1.0,0,0,1,0,0,203,1.0
11505.0,0,1,0,0,0,1,1.0
4000.0,0,0,1,0,0,11,1.0
3998.0,1,0,0,0,0,1,1.0
82.0,1,0,0,0,0,8,1.0
85800.0,1,0,0,0,0,17,1.0
1975.0,1,0,0,0,0,44,1.0
850.0,0,0,1,0,0,34,1.0
650.0,0,1,0,0,0,3,1.0
7950.0,0,1,0,0,0,1,1.0
1500.0,1,0,0,0,0,179,1.0
550.0,0,0,1,0,0,48,1.0
69288.96,0,0,1,0,0,3,1.0
175.0,0,0,1,0,0,7,1.0
7000.0,0,0,0,0,1,3,1.0
1940.0,1,0,0,0,0,3,1.0
6750.0,0,1,0,0,0,1,1.0
1040.0,1,0,0,0,0,4,1.0
5460.0,0,0,1,0,0,6,1.0
70.0,0,0,1,0,0,56,1.0
315600.0,1,0,0,0,0,35,1.0
690.0,0,1,0,0,0,38,1.0
3593.0,0,0,1,0,0,1,1.0
447440.0,0,1,0,0,0,2,1.0
12500.0,0,0,1,0,0,1,1.0
225.0,0,0,0,0,1,5,1.0
1000.0,1,0,0,0,0,179,1.0
2900.0,0,0,1,0,0,12,1.0
1600.0,1,0,0,0,0,10,1.0
3.0,1,0,0,0,0,2,1.0
37000.0,0,0,1,0,0,1,1.0
38500.0,1,0,0,0,0,191,1.0
780.0,0,0,1,0,0,6,1.0
2500.0,1,0,0,0,0,1,1.0
2450.0,1,0,0,0,0,1,1.0
780.0,0,1,0,0,0,4,1.0
1000.0,0,0,1,0,0,129,1.0
15466.0,0,0,0,0,1,4,1.0
128.0,0,0,1,0,0,9,1.0
900.0,0,1,0,0,0,6,1.0
6188.0,1,0,0,0,0,121,1.0
2700.0,1,0,0,0,0,3,1.0
2340.0,0,0,0,0,1,7,1.0
450.0,0,0,0,0,1,23,1.0
1300.0,0,0,1,0,0,25,1.0
2699.8,1,0,0,0,0,2,1.0
26645.4,0,1,0,0,0,6,1.0
98.0,1,0,0,0,0,1,1.0
59400.0,1,0,0,0,0,1,1.0
97500.0,0,0,0,0,1,16,1.0
1505.0,0,0,1,0,0,4,1.0
2250.0,0,0,1,0,0,13,1.0
620.0,0,0,1,0,0,20,1.0
114.0,0,0,0,0,1,26,1.0
51.0,1,0,0,0,0,39,1.0
650.0,0,0,0,0,1,7,1.0
1000.0,0,1,0,0,0,4,1.0
5355.0,0,0,1,0,0,1,1.0
720.0,0,1,0,0,0,17,1.0
3100.0,1,0,0,0,0,7,1.0
28050.0,1,0,0,0,0,118,1.0
800.0,1,0,0,0,0,1,1.0
150.0,1,0,0,0,0,14,1.0
176.0,1,0,0,0,0,4,1.0
500.0,0,0,1,0,0,21,1.0
1485.0,0,1,0,0,0,1,1.0
21558.0,0,1,0,0,0,4,1.0
3500.0,0,0,1,0,0,41,1.0
129.99,1,0,0,0,0,9,1.0
8950.0,0,1,0,0,0,1,1.0
110.0,1,0,0,0,0,137,1.0
740.0,0,0,1,0,0,19,1.0
2450.0,0,0,0,0,1,12,1.0
1200.0,0,1,0,0,0,1,1.0
12450.0,0,0,0,0,1,13,1.0
148000.0,0,0,1,0,0,1,1.0
3750.0,0,1,0,0,0,183,1.0
2190.0,1,0,0,0,0,38,1.0
6600.0,0,1,0,0,0,10,1.0
3260.0,0,0,0,0,1,13,1.0
900.0,0,0,0,0,1,14,1.0
28000.0,0,1,0,0,0,21,1.0
1499.4,0,0,1,0,0,2,1.0
2260.0,1,0,0,0,0,1,1.0
2000.0,1,0,0,0,0,1,1.0
840.0,0,0,0,0,1,27,1.0
2100.0,0,0,1,0,0,11,1.0
1080.0,1,0,0,0,0,57,1.0
1340.0,0,1,0,0,0,7,1.0
1400.0,0,0,1,0,0,13,1.0
1899.0,1,0,0,0,0,1,1.0
54180.0,0,0,1,0,0,15,1.0
1600.0,0,0,0,0,1,24,1.0
160.0,0,1,0,0,0,32,1.0
15920.0,0,0,1,0,0,73,1.0
119.97,1,0,0,0,0,2,1.0
400.0,0,1,0,0,0,5,1.0
3199.6,0,1,0,0,0,1,1.0
100.0,1,0,0,0,0,70,1.0
1600.0,1,0,0,0,0,12,1.0
4980.0,0,1,0,0,0,1,1.0
2090.0,0,1,0,0,0,4,1.0
50.0,0,0,1,0,0,25,1.0
5420.0,0,0,1,0,0,22,1.0
5760.0,1,0,0,0,0,13,1.0
1760.0,0,0,1,0,0,30,1.0
16770.0,0,1,0,0,0,1,1.0
1410.0,0,0,1,0,0,9,1.0
12000.0,1,0,0,0,0,10,1.0
1800.0,1,0,0,0,0,163,1.0
2800.0,0,0,1,0,0,12,1.0
1815.0,0,1,0,0,0,1,1.0
24.0,1,0,0,0,0,2,1.0
1050.0,0,0,1,0,0,12,1.0
15900.0,0,1,0,0,0,1,1.0
775.0,0,0,1,0,0,9,1.0
165000.0,1,0,0,0,0,3,1.0
1490.0,0,0,1,0,0,2,1.0
1750.0,1,0,0,0,0,12,1.0
9500.0,0,0,1,0,0,13,1.0
645.0,0,0,0,0,1,5,1.0
1950.0,0,0,1,0,0,12,1.0
875.0,0,0,1,0,0,10,1.0
150.0,1,0,0,0,0,7,1.0
670.0,0,0,1,0,0,11,1.0
25000.0,1,0,0,0,0,32,1.0
2850.0,0,0,0,0,1,16,1.0
220.0,0,0,1,0,0,6,1.0
1170.0,1,0,0,0,0,78,1.0
2900.0,0,0,1,0,0,12,1.0
400.0,0,0,0,0,1,8,1.0
277500.0,0,1,0,0,0,3,1.0
675.0,0,0,1,0,0,32,1.0
900.0,0,0,0,0,1,19,1.0
85.0,1,0,0,0,0,12,1.0
198.0,1,0,0,0,0,4,1.0
3375.0,0,0,1,0,0,8,1.0
1704.45,1,0,0,0,0,12,1.0
54.99,0,1,0,0,0,9,1.0
4330.0,0,1,0,0,0,5,1.0
11600.0,0,0,1,0,0,1,1.0
3593.0,0,1,0,0,0,2,1.0
795.0,1,0,0,0,0,7,1.0
6225.0,0,1,0,0,0,1,1.0
565.0,0,0,0,0,1,27,1.0
23275.0,0,0,1,0,0,8,1.0
250.0,0,0,1,0,0,17,1.0
6960.0,0,1,0,0,0,8,1.0
6715.0,0,1,0,0,0,2,1.0
70.0,0,0,1,0,0,14,1.0
93600.0,0,1,0,0,0,6,1.0
565.0,1,0,0,0,0,140,1.0
170.0,0,0,1,0,0,5,1.0
95.0,0,0,1,0,0,1,1.0
16700.0,1,0,0,0,0,1,1.0
3000.0,0,0,1,0,0,20,1.0
4500.0,1,0,0,0,0,115,1.0
525.0,0,1,0,0,0,2,1.0
11840.0,1,0,0,0,0,1,1.0
2479.0,1,0,0,0,0,1,1.0
750.0,0,0,1,0,0,44,1.0
6200.0,0,0,0,0,1,10,1.0
695.0,0,0,1,0,0,52,1.0
600.0,0,0,1,0,0,18,1.0
750.0,0,1,0,0,0,3,1.0
148.0,1,0,0,0,0,11,1.0
181500.0,0,0,1,0,0,6,1.0
2400.0,0,0,0,0,1,9,1.0
22050.0,0,1,0,0,0,2,1.0
3000.0,1,0,0,0,0,1,1.0
88800.0,0,0,1,0,0,1,1.0
750.0,1,0,0,0,0,252,1.0
296.0,0,1,0,0,0,18,1.0
59200.0,0,0,1,0,0,10,1.0
2520.0,0,0,1,0,0,4,1.0
2625.0,1,0,0,0,0,14,1.0
1.01,1,0,0,0,0,165,1.0
47040.0,0,1,0,0,0,3,1.0
2295.0,0,0,1,0,0,24,1.0
22800.0,0,0,0,0,1,35,1.0
92.0,1,0,0,0,0,9,1.0
180.0,0,0,1,0,0,8,1.0
31650.0,0,0,1,0,0,6,1.0
590.0,1,0,0,0,0,3,1.0
34.99,0,1,0,0,0,10,1.0
43200.0,0,1,0,0,0,2,1.0
1680.0,0,1,0,0,0,8,1.0
75000.0,0,1,0,0,0,2,1.0
1.01,1,0,0,0,0,132,1.0
24.95,0,0,1,0,0,15,1.0
1590.0,0,0,1,0,0,19,1.0
24500.0,1,0,0,0,0,264,1.0
340.0,1,0,0,0,0,149,1.0
590.0,0,0,1,0,0,6,1.0
1440.0,0,0,1,0,0,1,1.0
645.0,1,0,0,0,0,2,1.0
562.32,1,0,0,0,0,6,1.0
2000.0,0,0,1,0,0,36,1.0
5100.0,0,1,0,0,0,17,1.0
1260.0,0,1,0,0,0,11,1.0
200.0,0,0,0,0,1,45,1.0
4350.0,0,0,0,0,1,34,1.0
2500.0,0,0,1,0,0,16,1.0
1400.0,0,1,0,0,0,20,1.0
395.0,0,0,1,0,0,2,1.0
3140.0,0,0,1,0,0,8,1.0
1280.0,1,0,0,0,0,1,1.0
6600.0,0,0,1,0,0,14,1.0
11400.0,0,1,0,0,0,21,1.0
550.0,0,1,0,0,0,2,1.0
1507.61,0,0,1,0,0,12,1.0
36618.0,0,1,0,0,0,18,1.0
24800.0,1,0,0,0,0,11,1.0
1650.0,0,0,0,1,0,1,1.0
9800.0,0,0,1,0,0,27,1.0
260.0,1,0,0,0,0,1,1.0
90900.0,0,0,1,0,0,13,1.0
2390.0,0,0,1,0,0,8,1.0
3700.0,0,0,0,1,0,1,1.0
2180.0,0,0,0,0,1,19,1.0
200.0,0,0,0,1,0,14,1.0
34619.0,1,0,0,0,0,3,1.0
18300.0,0,0,1,0,0,8,1.0
1350.0,0,1,0,0,0,1,1.0
898.0,1,0,0,0,0,10,1.0
119.94,0,0,0,0,1,26,1.0
900.0,0,1,0,0,0,3,1.0
495.0,0,0,1,0,0,37,1.0
9000.0,0,0,0,0,1,4,1.0
200.0,0,1,0,0,0,5,1.0
450.0,0,1,0,0,0,64,1.0
430.0,1,0,0,0,0,4,1.0
376.0,0,0,0,0,1,11,1.0
15200.0,0,1,0,0,0,1,1.0
360.0,0,0,1,0,0,36,1.0
53295.0,0,0,0,0,1,8,1.0
6960.0,0,1,0,0,0,3,1.0
26885.265320989474,0,1,0,0,0,20,1.0
1900.0,0,1,0,0,0,4,1.0
5998.0,0,1,0,0,0,1,1.0
25400.0,1,0,0,0,0,2,1.0
580.0,0,0,0,1,0,26,1.0
5300.0,0,0,1,0,0,9,1.0
1170.0,0,0,1,0,0,18,1.0
690.0,0,0,1,0,0,18,1.0
1600.0,1,0,0,0,0,2,1.0
825.0,0,0,1,0,0,22,1.0
800.0,0,0,1,0,0,155,1.0
283.0,0,0,1,0,0,5,1.0
3.0,0,0,1,0,0,40,1.0
10950.0,0,0,1,0,0,20,1.0
576.0,1,0,0,0,0,130,1.0
140.0,0,0,1,0,0,172,1.0
2265.0,0,0,1,0,0,18,1.0
3100.0,0,0,1,0,0,16,1.0
66150.0,1,0,0,0,0,5,1.0
1340.0,1,0,0,0,0,1,1.0
9.5,1,0,0,0,0,29,1.0
1550.0,0,0,1,0,0,7,1.0
1843.0,1,0,0,0,0,29,1.0
32500.0,1,0,0,0,0,19,1.0
3800.0,0,0,1,0,0,10,1.0
950.0,1,0,0,0,0,3,1.0
445.0,0,0,1,0,0,11,1.0
186.0,0,0,1,0,0,48,1.0
5873.0,1,0,0,0,0,4,1.0
1760.0,0,1,0,0,0,8,1.0
4800.0,0,0,1,0,0,1,1.0
920.0,0,0,1,0,0,9,1.0
